 data source, category, average ERR, occurence
 wikipedia-dict, plural-nouns,0.4670564774,3869
 wikipedia-dict, plural-verbs,0.4729505144,2026
 wikipedia-dict, present-participle,0.4823924902,2170
 wikipedia-dict, superlative,0.4915178571,64
 wordnet, Antonym,0.4922144686,466
 wordnet, Attribute,0.491209893,128
 wordnet, Causes,0.5,25
 wordnet, DerivedFrom,0.4935674014,3334
 wordnet, Entails,0.4963848039,102
 wordnet, HasContext,0.5002306661,808
 wordnet, InstanceOf,0.4983384848,848
 wordnet, IsA,0.4970266425,7883
 wordnet, MadeOf,0.5,33
 wordnet, MemberOf,0.5014136364,125
 wordnet, PartOf,0.4853346136,730
 wordnet, RelatedTo,0.5,82
 wordnet, SimilarTo,0.4979407669,1639
